                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.6134,                  5.493,                 4.3492,                0.00024,                0.05732,                0.00014,                  3e-05,                 4.7513,                 5.5236,                 4.1387,                 0.0757,                 0.0027,                 0.0027
                      1,                 4.5153,                  4.949,                 4.2478,                0.00024,                 0.0552,                0.00015,                  3e-05,                 4.7275,                 5.4259,                 4.1225,               0.050446,              0.0054456,              0.0054456
                      2,                 4.3142,                 4.5662,                 4.1108,                0.00024,                 0.0552,                0.00014,                  3e-05,                 4.7428,                 4.2985,                 4.1314,               0.025136,              0.0081357,              0.0081357
                      3,                 3.7146,                  4.177,                 3.8334,                0.00035,                 0.0828,                0.00243,                0.00031,                 4.6744,                 4.2863,                 4.0846,               0.009703,               0.009703,               0.009703
                      4,                 3.5427,                 4.0741,                 3.5586,                0.01359,                0.24841,                0.00712,                0.00198,                 3.4713,                 37.427,                 3.8925,               0.009703,               0.009703,               0.009703
                      5,                  3.179,                 3.3373,                 3.2777,                0.00964,                0.45435,                0.00711,                0.00221,                 2.9514,                    inf,                 3.8591,               0.009604,               0.009604,               0.009604
                      6,                 2.9852,                 2.8734,                 3.1025,                0.03065,                0.05732,                0.01444,                0.00429,                 2.9292,                    inf,                 4.4979,               0.009505,               0.009505,               0.009505
                      7,                 2.8705,                 2.6694,                  2.952,                0.06007,                0.12102,                0.05607,                0.01572,                  2.681,                 3.0933,                  3.038,               0.009406,               0.009406,               0.009406
                      8,                 2.8064,                 2.5628,                 2.8234,                0.13286,                0.18047,                0.06247,                0.01771,                 2.4856,                  6.965,                 2.8271,               0.009307,               0.009307,               0.009307
                      9,                 2.6321,                 2.4122,                 2.7602,                0.28047,                0.20594,                0.19979,                0.06942,                 2.4378,                 5.8934,                 2.6663,               0.009208,               0.009208,               0.009208
                     10,                  2.567,                  2.279,                 2.5968,                0.21621,                0.37599,                0.17753,                0.06412,                 2.3188,                 2.3482,                 2.5221,               0.009109,               0.009109,               0.009109
                     11,                 2.4917,                  2.134,                 2.5059,                0.35094,                0.32484,                0.29792,                0.11685,                 2.3053,                 2.2238,                 2.4914,                0.00901,                0.00901,                0.00901
                     12,                 2.3528,                   2.01,                  2.405,                0.48802,                0.43737,                0.35608,                0.12475,                 2.3247,                 2.2994,                 2.4901,               0.008911,               0.008911,               0.008911
                     13,                 2.2758,                 1.8675,                 2.3429,                0.36945,                0.22505,                0.18695,                0.06812,                 2.6329,                 3.3053,                 2.7185,               0.008812,               0.008812,               0.008812
                     14,                 2.2723,                 1.7837,                 2.3145,                0.45158,                0.47346,                0.40199,                0.15433,                 2.1495,                 2.0379,                 2.3305,               0.008713,               0.008713,               0.008713
                     15,                 2.1376,                 1.6769,                 2.2021,                0.54716,                0.46946,                0.48446,                0.20978,                 2.0089,                 1.7787,                 2.2076,               0.008614,               0.008614,               0.008614
                     16,                 2.1117,                 1.5945,                  2.152,                0.69604,                0.55911,                 0.6587,                0.30354,                 1.9116,                 1.4687,                 2.0913,               0.008515,               0.008515,               0.008515
                     17,                  2.024,                 1.5843,                 2.0937,                0.72016,                0.61146,                0.66809,                0.26737,                 1.9843,                 1.4858,                 2.1538,               0.008416,               0.008416,               0.008416
                     18,                  1.915,                 1.5926,                 2.0202,                0.67699,                0.57325,                 0.6421,                0.28732,                 1.8922,                 1.5464,                 2.0984,               0.008317,               0.008317,               0.008317
                     19,                 1.9731,                  1.495,                  2.012,                0.65472,                 0.5966,                   0.67,                0.31692,                 1.8117,                 1.7581,                 1.9998,               0.008218,               0.008218,               0.008218
                     20,                 1.8681,                 1.3655,                 1.9482,                0.57634,                0.63057,                0.58973,                0.25714,                 1.8913,                 1.5468,                 2.0625,               0.008119,               0.008119,               0.008119
                     21,                 1.8918,                 1.4313,                 1.9924,                0.48232,                0.39703,                0.39378,                0.15127,                 2.1194,                 2.2574,                 2.2502,                0.00802,                0.00802,                0.00802
                     22,                 1.9327,                 1.4264,                 1.9706,                0.83687,                0.63175,                0.78252,                0.36751,                 1.7153,                 1.3413,                 1.8818,               0.007921,               0.007921,               0.007921
                     23,                  1.791,                 1.2824,                 1.8863,                 0.7171,                0.67811,                0.74413,                 0.3359,                 1.8086,                 1.4133,                 1.9759,               0.007822,               0.007822,               0.007822
                     24,                 1.8085,                 1.2388,                  1.871,                0.78603,                0.73248,                0.81757,                0.38146,                 1.7746,                 1.2368,                 1.8867,               0.007723,               0.007723,               0.007723
                     25,                 1.7096,                 1.2449,                 1.8095,                0.75736,                0.69002,                 0.7592,                 0.3672,                 1.7408,                 1.2601,                 1.9203,               0.007624,               0.007624,               0.007624
                     26,                 1.7769,                 1.2426,                 1.8319,                0.73868,                0.70913,                0.80846,                 0.3963,                 1.7014,                 1.1973,                 1.8303,               0.007525,               0.007525,               0.007525
                     27,                 1.6289,                 1.2254,                 1.6955,                0.67537,                0.77495,                0.78036,                0.40491,                 1.5787,                 1.1976,                  1.747,               0.007426,               0.007426,               0.007426
                     28,                 1.6873,                  1.149,                 1.7301,                0.82365,                0.74371,                0.85501,                0.47139,                 1.5282,                 1.0737,                 1.7042,               0.007327,               0.007327,               0.007327
                     29,                 1.6162,                 1.1035,                 1.7501,                0.86923,                0.72611,                0.84352,                0.43489,                 1.6545,                 1.1517,                 1.7796,               0.007228,               0.007228,               0.007228
                     30,                 1.6637,                 1.0465,                 1.7102,                0.75253,                0.76221,                0.82541,                0.39611,                 1.7286,                 1.1981,                 1.8109,               0.007129,               0.007129,               0.007129
                     31,                 1.6703,                 1.1036,                 1.7017,                0.86954,                0.82078,                0.88472,                 0.4729,                 1.5697,                0.97935,                 1.6792,                0.00703,                0.00703,                0.00703
                     32,                 1.6005,                 1.0719,                 1.6648,                 0.8887,                0.78556,                0.88098,                0.48806,                 1.4917,                0.99462,                  1.643,               0.006931,               0.006931,               0.006931
                     33,                 1.5922,                 1.0811,                 1.6944,                0.82226,                0.85563,                0.89934,                0.48966,                 1.4894,                 1.0935,                  1.671,               0.006832,               0.006832,               0.006832
                     34,                 1.5861,                 1.0334,                  1.675,                0.80088,                0.81316,                0.86691,                0.46754,                 1.5728,                   1.08,                  1.719,               0.006733,               0.006733,               0.006733
                     35,                 1.5384,                0.99453,                 1.6011,                0.91011,                0.82166,                0.90982,                0.52094,                 1.4469,                0.92022,                 1.6149,               0.006634,               0.006634,               0.006634
                     36,                 1.5709,                 1.0032,                 1.5994,                0.85363,                0.87912,                0.90691,                0.53224,                  1.413,                0.92102,                 1.5857,               0.006535,               0.006535,               0.006535
                     37,                 1.5427,                0.98232,                  1.579,                0.89338,                0.87173,                0.92327,                0.55728,                 1.3745,                0.83509,                 1.5214,               0.006436,               0.006436,               0.006436
                     38,                 1.4981,                0.97005,                 1.5536,                 0.8717,                0.82224,                0.89769,                0.50922,                 1.4561,                0.95355,                 1.5724,               0.006337,               0.006337,               0.006337
                     39,                 1.6149,                 1.0065,                  1.631,                0.86921,                0.87049,                0.90986,                 0.5291,                 1.4042,                0.87134,                 1.5568,               0.006238,               0.006238,               0.006238
                     40,                  1.493,                0.94062,                 1.5956,                0.84467,                  0.862,                0.89994,                0.54051,                 1.3426,                0.87526,                  1.533,               0.006139,               0.006139,               0.006139
                     41,                 1.4361,                0.93208,                 1.5649,                0.90003,                0.83439,                0.92012,                0.53572,                 1.3962,                0.86026,                 1.5507,                0.00604,                0.00604,                0.00604
                     42,                 1.4483,                0.91074,                 1.5668,                0.85839,                0.89597,                0.92786,                0.55038,                 1.3489,                0.87983,                 1.5308,               0.005941,               0.005941,               0.005941
                     43,                 1.6037,                0.94904,                 1.7027,                  0.869,                0.88323,                0.92425,                0.55055,                 1.3694,                0.91628,                 1.5311,               0.005842,               0.005842,               0.005842
                     44,                  1.465,                0.91516,                 1.5568,                0.85773,                 0.8448,                0.90716,                0.54207,                 1.3233,                0.92002,                 1.4936,               0.005743,               0.005743,               0.005743
                     45,                 1.4305,                  0.913,                 1.5468,                0.91507,                0.86933,                 0.9399,                0.57144,                 1.3298,                0.79249,                 1.4889,               0.005644,               0.005644,               0.005644
                     46,                  1.415,                0.85385,                 1.5328,                0.89701,                 0.8876,                0.93679,                0.56711,                 1.3644,                0.76361,                 1.4931,               0.005545,               0.005545,               0.005545
                     47,                 1.4547,                0.88239,                 1.5154,                0.89106,                0.90305,                0.93572,                0.58552,                 1.2836,                0.76085,                 1.4696,               0.005446,               0.005446,               0.005446
                     48,                 1.4051,                0.86094,                 1.5064,                0.90341,                0.87375,                0.92131,                 0.4994,                 1.5044,                0.84274,                 1.5824,               0.005347,               0.005347,               0.005347
                     49,                 1.4111,                0.83815,                 1.4963,                0.91787,                0.89384,                0.95297,                0.60839,                 1.2252,                0.72539,                 1.4185,               0.005248,               0.005248,               0.005248
                     50,                 1.4292,                0.82636,                 1.5316,                0.93613,                0.90246,                  0.946,                0.58599,                 1.2911,                 0.7149,                 1.4561,               0.005149,               0.005149,               0.005149
                     51,                 1.3581,                0.79738,                 1.4713,                0.84935,                0.90658,                0.87634,                0.53535,                  1.252,                0.77519,                 1.4316,                0.00505,                0.00505,                0.00505
                     52,                 1.3553,                0.83692,                 1.4782,                0.90926,                0.89809,                0.93447,                0.59874,                 1.2364,                0.74028,                 1.4335,               0.004951,               0.004951,               0.004951
                     53,                 1.3811,                0.82284,                 1.4828,                0.89848,                0.90192,                0.94187,                 0.6015,                 1.2754,                0.74738,                  1.452,               0.004852,               0.004852,               0.004852
                     54,                 1.3265,                0.81463,                 1.4486,                0.91623,                0.90566,                0.94578,                 0.6223,                 1.1777,                0.69742,                 1.3977,               0.004753,               0.004753,               0.004753
                     55,                 1.3544,                0.80711,                 1.4623,                0.91825,                0.93008,                0.95806,                0.60877,                 1.2614,                0.68502,                 1.4072,               0.004654,               0.004654,               0.004654
                     56,                 1.3182,                0.78968,                 1.4327,                0.89922,                0.95117,                0.96203,                0.63614,                 1.1484,                0.67453,                 1.3665,               0.004555,               0.004555,               0.004555
                     57,                 1.3275,                0.79526,                 1.3958,                 0.9279,                0.90163,                0.95241,                0.62341,                 1.2017,                0.72931,                 1.3692,               0.004456,               0.004456,               0.004456
                     58,                 1.3178,                0.74688,                 1.4253,                  0.921,                0.94057,                0.95982,                0.62368,                  1.169,                0.70269,                  1.383,               0.004357,               0.004357,               0.004357
